Alimento ;Calorias;Quantidade (gr)
Água de coco verde;62;240
Café com açúcar;33;50
Café sem açúcar;3;40
Caldo de cana;202;240
Suco de abacaxi natural;100;240
Suco de acerola natural;36;240
Suco de maçã natural;154;240
Suco de manga natural;109;240
Suco de melão natural;60;240
Suco de milho verde natural;271;240
Suco de morango natural;39;240
Suco de pêssego natural;77;240
Suco de tomate fresco;27;240
Aguardente;277;120
Cerveja ;147;350
Cerveja light;148;360
Champanhe ;85;125
Chope;180;300
Uísque ;240;100
Vinho branco doce;178;125
Vinho branco seco;107;125
Vinho Rosé;93;1250
Vinho tinto seco;107;125
Vodka ;48;20
Coca-Cola;137;350
Coca-Cola Light;1,5;350
Fanta ;189;350
Fanta Diet;15;350
Gatorate - todos os sabores;109;473
Guaraná;75;240
Guaraná diet;4;350
Sport Drink limão;51;20
Sprite;115;350
Sprite diet limão;5;350
