Descriá∆o;Peso;Calorias
Alcatra assada;150;301
Alcatra frita;100;235
Almìndega caseira de carne;30;61
Almìndega de frango;25;54
Almìndega de peru;25;46
Antecoxa de frango assada;100;109
Baby beef;100;120
Bacon fatiado;10;54
Bacon frito;30;198
Bisteca de porco;100;337
Costeleta de porco;100;483
Coxa de frango;100;144
Coxa de frango assada c/pele;100;110
Coxa de frango assada s/pele;100;98
Coxa de frango cozida;100;120
Cupim;150;375
F°gado de boi frito;100;210
F°gado de galinha;25;35
FilÇ de frango;100;101
FilÇ mignon;100;140
Hamburger bovina;56;116
Hamburger calabresa;56;149
Hamburger de chester;56;105
Hamburger de frango;96;179
Lagarto de boi assado;100;170
Leit∆o;170;308
L°ngua de boi cozida;100;287
Lombo assado;100;272
Maminha;100;141
Miolo de cox∆o mole;100;120
Moela de galinha;100;78
M£sculo cozido;100;180
Patinho de boi assado;100;200
Peito de frango s/pele;100;100
Pernil de porco assado;100;196
Per£;100;155
Picanha;100;287
R∆;200;128
Rabo de porco salgado;100;426
Rosbife;50;83
Tender;100;210
Apresuntado;15;22
Blanquet de peru;10;13
Copa fatiada maturada;6;22
LingÅiáa calabresa;100;300
LingÅiáa de frango;100;166
LingÅiáa de peru defumada;100;148
LingÅiáa toscana;100;255
Lombo canadense;15;21
Lombo defumado;15;29
Morcela;100;258
Mortadela;15;41
Mortadela de frango;15;20
Paio;100;314
Peito de peru defumado;15;14
Presunto cozido;15;18
Presunto cru;15;54
Salame italiano;2,5;10
Salaminho;2,5;10
Salsinha;2,5;120
Salsicha light de chester;40;64
Salsicha Hot Dog;50;115
Salsich∆o;10;30
Anchova cozida;100;118
Anchova Ö milanesa;100;210
Atum cru;100;146
Bacalhau cozido;100;100
Caá∆o cozido;100;129
Camar∆o cozido;100;82
Camar∆o frito;100;310
Casquinha de Caranguejo;50;250
Casquinha de Siri;200;413
Caviar;10;24
Dourado;100;88
Haddock cozido;100;100
Kani-Kama;16;13
Lagosta cozida s/ molho;200;196
Linguado assado ou grelhado;100;90
Lula cozida;100;93
Lula frita empanada;100;373
Mariscos cozidos;100;96
Mexilh∆o cozido;100;79
Namorado cozido;100;122
Ostras;100;81
Ovas de peixe cruas;100;125
Pescada cozida;100;97
Pintado grelhado;200;208
Polvo cru;100;64
Robalo;200;72
Salm∆o assado ou grelhado;100;292
Salm∆o cru;100;211
Sardinha grelhada;33;97
Sardinha em ¢leo comest°vel;100;174
Sardinha em conserva com azeite;100;298
Tainha Cozida;100;204
Truta assada ou grelhada;200;378
